term,category,en_definition,de_definition,en_example,de_example,related_terms,see_also
GZIP,Archive-Formate / Archive Formats,GNU compression format; typically used with tar (creates .tar.gz or .tgz); single file compression; Tcl: `zlib` command (8.6+) supports gzip; common for Tcl package distribution; command: `gzip file` creates file.gz.,GNU-Kompressions-Format; typischerweise mit tar verwendet (erstellt .tar.gz oder .tgz); Einzeldatei-Kompression; Tcl: `zlib`-Befehl (8.6+) unterstützt gzip; üblich für Tcl-Paket-Distribution; Befehl: `gzip file` erstellt file.gz.,,,,
TAR (Tape Archive),Archive-Formate / Archive Formats,Unix archive format; stores multiple files with metadata; no compression (use with gzip/bzip2); Tcl package: tar (tcllib); common for source distributions; preserves Unix permissions; format: `tar cvf archive.tar files/`.,Unix-Archiv-Format; speichert mehrere Dateien mit Metadaten; keine Kompression (mit gzip/bzip2 verwenden); Tcl-Paket: tar (tcllib); üblich für Quell-Distributionen; bewahrt Unix-Berechtigungen; Format: `tar cvf archive.tar files/`.,,,,
TGZ / .tar.gz,Archive-Formate / Archive Formats,Compressed tar archive; combines tar archiving with gzip compression; standard for Unix/Linux source distributions; Tcl can handle with `zlib` and `tar` packages; extract: `tar xzf archive.tgz`.,Komprimiertes Tar-Archiv; kombiniert Tar-Archivierung mit Gzip-Kompression; Standard für Unix/Linux-Quell-Distributionen; Tcl kann mit `zlib`- und `tar`-Paketen handhaben; Extrahieren: `tar xzf archive.tgz`.,,,,
ZIP,Archive-Formate / Archive Formats,"Popular compression archive format; widely supported; used by starkits internally; Tcl packages: vfs::zip, zipfile::decode (tcllib); can mount as VFS or extract files; cross-platform.","Beliebtes Kompressions-Archiv-Format; weit unterstützt; intern von Starkits verwendet; Tcl-Pakete: vfs::zip, zipfile::decode (tcllib); kann als VFS mounten oder Dateien extrahieren; plattformübergreifend.",,,,
bzip2 / .tar.bz2,Archive-Formate / Archive Formats,Compression format with better compression than gzip but slower; often used with tar (.tar.bz2 or .tbz2); Tcl: available via extensions; extract: `tar xjf archive.tar.bz2`.,Kompressions-Format mit besserer Kompression als gzip aber langsamer; oft mit tar verwendet (.tar.bz2 oder .tbz2); Tcl: verfügbar über Extensions; Extrahieren: `tar xjf archive.tar.bz2`.,,,,
xz / .tar.xz,Archive-Formate / Archive Formats,Modern compression format with excellent compression ratio; increasingly common for source distributions; slower than gzip but better compression; extract: `tar xJf archive.tar.xz`.,Modernes Kompressions-Format mit exzellentem Kompressions-Verhältnis; zunehmend üblich für Quell-Distributionen; langsamer als gzip aber bessere Kompression; Extrahieren: `tar xJf archive.tar.xz`.,,,,
% (Modulo),Arithmetische Operatoren / Arithmetic Operators,"Modulo operator; returns remainder of division (e.g., `10 % 3` = 1).",Modulo-Operator; gibt Rest der Division zurück (z.B. `10 % 3` = 1).,,,,
* (Multiplication),Arithmetische Operatoren / Arithmetic Operators,"Multiplication operator; multiplies two numbers (e.g., `$x * $y`).",Multiplikations-Operator; multipliziert zwei Zahlen (z.B. `$x * $y`).,,,,
** (Exponentiation),Arithmetische Operatoren / Arithmetic Operators,"Power operator; raises left operand to power of right (e.g., `2 ** 8` = 256).",Potenz-Operator; erhebt linken Operanden zur Potenz des rechten (z.B. `2 ** 8` = 256).,,,,
+ (Addition),Arithmetische Operatoren / Arithmetic Operators,"Addition operator; adds two numbers (e.g., `$x + $y`).",Additions-Operator; addiert zwei Zahlen (z.B. `$x + $y`).,,,,
+ (Unary Plus),Arithmetische Operatoren / Arithmetic Operators,Unary plus operator; explicitly indicates positive value.,Unäres Plus; zeigt explizit positiven Wert an.,,,,
++ (Increment),Arithmetische Operatoren / Arithmetic Operators,"Increment operator; increases variable value by 1 (e.g., `incr x` or in expr).",Inkrement-Operator; erhöht Variablenwert um 1 (z.B. `incr x` oder in expr).,,,,
- (Subtraction),Arithmetische Operatoren / Arithmetic Operators,"Subtraction operator; subtracts right operand from left (e.g., `$x - $y`).",Subtraktions-Operator; subtrahiert rechten Operanden von linkem (z.B. `$x - $y`).,,,,
- (Unary Minus),Arithmetische Operatoren / Arithmetic Operators,"Negation operator; changes sign of number (e.g., `-$x`).",Negations-Operator; ändert Vorzeichen der Zahl (z.B. `-$x`).,,,,
-- (Decrement),Arithmetische Operatoren / Arithmetic Operators,Decrement operator; decreases variable value by 1.,Dekrement-Operator; verringert Variablenwert um 1.,,,,
/ (Division),Arithmetische Operatoren / Arithmetic Operators,"Division operator; divides left operand by right (e.g., `$x / $y`).",Divisions-Operator; dividiert linken Operanden durch rechten (z.B. `$x / $y`).,,,,
array donesearch,Array-Subcommands / Array Subcommands,"End an incremental array iteration and release resources. Syntax: array donesearch arrayName searchToken. Must be called after array startsearch (counterpart). If you forget, the search token is kept alive until the variable is unset.",Beendet eine inkrementelle Array-Iteration und gibt Ressourcen frei. Syntax: array donesearch arrayName searchToken. Muss nach array startsearch aufgerufen werden (Gegenstueck). Bei Vergessen bleibt das Such-Token bis zum unset der Variable.,,,,
array exists,Array-Subcommands / Array Subcommands,"Test whether a variable is an array. Syntax: array exists arrayName. Returns 1 if it is an array, 0 otherwise (including: variable is undefined, or is a scalar). Used to guard against treating scalars as arrays (which would error).","Prueft ob eine Variable ein Array ist. Syntax: array exists arrayName. Liefert 1 wenn Array, 0 sonst (inkl.: Variable undefiniert oder Skalar). Verwendet um zu verhindern dass Skalare als Arrays behandelt werden (was einen Fehler waere).",,,,
